singer_account_id,performance_id,song_title,singer_gender,singer_birth_year,,Language
131698369,131698369_27844120,_all_american_girl,F,1997,1,EN
119611682,119611682_33037772,_all_american_girl,F,1993,0,EN
82840441,82840441_38602981,_all_american_girl,F,1978,1,EN
150012385,150012385_29220627,_all_american_girl,F,1983,0,EN
91322978,91322978_47668721,_all_american_girl,F,1996,0,EN
92486317,92486317_39827905,_all_american_girl,F,1975,0,EN
117584966,117584966_34147175,_all_american_girl,F,1992,0,EN
119611682,119611682_25701486,_all_american_girl,F,1993,1,EN
119611682,119611682_40030990,_all_american_girl,F,1993,0,EN
119611682,119611682_40384464,_all_american_girl,F,1993,0,EN
120017465,120017465_46434601,_all_american_girl,F,1991,0,EN
131893769,131893769_22708465,_all_american_girl,F,1991,0,EN
142084221,142084221_39424395,_all_american_girl,F,1968,0,EN
142084221,142084221_25582156,_all_american_girl,F,1968,0,EN
145336196,145336196_29004287,_all_american_girl,F,1996,0,EN
151007166,151007166_40220469,_all_american_girl,F,1990,1,EN
155491542,155491542_41000986,_all_american_girl,F,1993,0,EN
156469639,156469639_32288139,_all_american_girl,F,1978,0,EN
159117241,159117241_30304571,_all_american_girl,F,1997,0,EN
183085572,183085572_38025073,_all_american_girl,F,1974,1,EN
183085572,183085572_37366258,_all_american_girl,F,1974,0,EN
190036745,190036745_39481485,_all_american_girl,F,1990,0,EN
211644452,211644452_48681062,_all_american_girl,F,1994,16,EN
165218744,165218744_37423535,_how_you_remind_me,F,1993,1,EN
70957290,70957290_37707910,_how_you_remind_me,F,1992,1,EN
170876928,170876928_43634088,_how_you_remind_me,M,1985,1,EN
155223454,155223454_33156710,_how_you_remind_me,F,1993,0,EN
108397133,108397133_31397939,_how_you_remind_me,F,1988,0,EN
158609370,158609370_38457716,_how_you_remind_me,F,1994,0,EN
96986132,96986132_22430806,_how_you_remind_me,M,1979,5,EN
110258479,110258479_46261260,_how_you_remind_me,M,1995,0,EN
118277494,118277494_45421662,_how_you_remind_me,F,1994,1,EN
120010510,120010510_34064106,_how_you_remind_me,F,1990,0,EN
123843878,123843878_22917321,_how_you_remind_me,F,1965,0,EN
130972545,130972545_49177053,_how_you_remind_me,M,1994,0,EN
140434504,140434504_25367935,_how_you_remind_me,M,1980,1,EN
158144228,158144228_30361986,_how_you_remind_me,F,1997,0,EN
160029914,160029914_35160652,_how_you_remind_me,F,1986,2,EN
163035225,163035225_37536139,_how_you_remind_me,F,1986,4,EN
174180063,174180063_35541765,_how_you_remind_me,F,1987,0,EN
184342029,184342029_38470307,_how_you_remind_me,M,1990,0,EN
187273139,187273139_42137735,_how_you_remind_me,F,2000,1,EN
192540062,192540062_40663536,_how_you_remind_me,F,1988,1,EN
192540062,192540062_41969195,_how_you_remind_me,F,1988,1,EN
207036014,207036014_45406312,_how_you_remind_me,M,1996,1,EN
208230113,208230113_45904613,_how_you_remind_me,F,1991,1,EN
193611340,193611340_48377033,_hand_in_my_pocket,F,1988,7,EN
175181553,175181553_35826594,_hand_in_my_pocket,F,1985,1,EN
121702023,121702023_25888325,_hand_in_my_pocket,F,1981,1,EN
144511182,144511182_26473858,_hand_in_my_pocket,F,1992,0,EN
70167169,70167169_34605470,_hand_in_my_pocket,M,1982,0,EN
111033647,111033647_43317375,_hand_in_my_pocket,F,1979,1,EN
179058627,179058627_39338377,_hand_in_my_pocket,F,1989,2,EN
84312539,84312539_22716690,_hand_in_my_pocket,F,1987,0,EN
85676252,85676252_30600416,_hand_in_my_pocket,F,1994,0,EN
90375816,90375816_22216682,_hand_in_my_pocket,F,1972,1,EN
110990585,110990585_39939345,_hand_in_my_pocket,F,1979,0,EN
112334328,112334328_34199587,_hand_in_my_pocket,F,1986,1,EN
117584966,117584966_31057330,_hand_in_my_pocket,F,1992,0,EN
125765901,125765901_22274347,_hand_in_my_pocket,F,1978,0,EN
140729683,140729683_42275721,_hand_in_my_pocket,F,1987,1,EN
145505857,145505857_32668526,_hand_in_my_pocket,F,1990,1,EN
167217089,167217089_33882521,_hand_in_my_pocket,F,1984,0,EN
175725999,175725999_40808650,_hand_in_my_pocket,F,1977,1,EN
182448537,182448537_38940320,_hand_in_my_pocket,F,1987,0,EN
187348516,187348516_39685765,_hand_in_my_pocket,F,1991,1,EN
196081343,196081343_41425507,_hand_in_my_pocket,F,1980,1,EN
205890684,205890684_45562483,_hand_in_my_pocket,F,1984,0,EN
217935679,217935679_49239146,_hand_in_my_pocket,F,1988,0,EN
103300487,103300487_24617504,_bed_intruder,F,1992,2,EN
129997156,129997156_25593463,_bed_intruder,F,1991,0,EN
149515807,149515807_31119101,_bed_intruder,F,1985,0,EN
128035708,128035708_24528066,_bed_intruder,M,1980,0,EN
114487217,114487217_22953188,_bed_intruder,M,1995,0,EN
179222638,179222638_35842992,_bed_intruder,F,1988,2,EN
98332799,98332799_23944962,_bed_intruder,F,1988,0,EN
110258479,110258479_42374762,_bed_intruder,M,1995,1,EN
116475318,116475318_23266945,_bed_intruder,F,1983,1,EN
117908454,117908454_23265344,_bed_intruder,F,1989,1,EN
124106631,124106631_24493293,_bed_intruder,F,1988,0,EN
127445983,127445983_37809472,_bed_intruder,M,1990,85,EN
127645173,127645173_28324728,_bed_intruder,M,1972,3,EN
